Fréquence (Hz)	Niveau (dB)
780,578613	-53,190056
783,270264	-52,292175
785,961914	-50,375870
788,653564	-50,457787
791,345215	-53,648197
794,036865	-60,482071
796,728516	-56,643620
799,420166	-51,158375
802,111816	-49,995438
804,803467	-53,269714
807,495117	-65,870575
810,186768	-57,135036
812,878418	-64,810654
815,570068	-56,093258
818,261719	-52,568489
820,953369	-52,128189
823,645020	-53,663132
826,336670	-55,857246
829,028320	-58,572559
831,719971	-56,982559
834,411621	-57,333225
837,103271	-63,034145
839,794922	-54,946026
842,486572	-57,053951
845,178223	-55,140705
847,869873	-58,563118
850,561523	-63,207081
853,253174	-58,381977
855,944824	-54,660957
858,636475	-57,757236
861,328125	-58,343529
864,019775	-61,582195
866,711426	-59,193916
869,403076	-51,461807
872,094727	-49,600227
874,786377	-52,873245
877,478027	-53,555103
880,169678	-56,510658
882,861328	-59,322407
885,552979	-52,713223
888,244629	-51,681610
890,936279	-53,797867
893,627930	-58,806538
896,319580	-58,170567
899,011230	-64,392166
901,702881	-58,741837
904,394531	-56,793690
907,086182	-55,984283
909,777832	-57,756786
912,469482	-63,668278
915,161133	-58,345127
917,852783	-55,454102
920,544434	-55,408730
923,236084	-59,435574
925,927734	-56,123104
928,619385	-55,895466
931,311035	-54,192860
934,002686	-54,640461
936,694336	-57,932514
939,385986	-54,653103
942,077637	-54,358788
944,769287	-59,347275
947,460938	-59,071671
950,152588	-53,615417
952,844238	-51,361961
955,535889	-60,030327
958,227539	-54,906860
960,919189	-59,113972
963,610840	-58,807961
966,302490	-61,187927
968,994141	-63,023075
971,685791	-63,664551
974,377441	-59,395702
977,069092	-64,522911
979,760742	-58,839272
982,452393	-58,568123
985,144043	-59,659031
987,835693	-57,225185
990,527344	-56,694485
993,218994	-58,897182
995,910645	-60,070309
998,602295	-69,956276
1001,293945	-62,000401
1003,985596	-60,699825
1006,677246	-56,474064
1009,368896	-56,152576
1012,060547	-60,238914
1014,752197	-58,493263
1017,443848	-54,064320
1020,135498	-53,961914
1022,827148	-56,231819
1025,518799	-60,869534
1028,210449	-61,002613
1030,902100	-61,644970
1033,593750	-57,715553
1036,285400	-57,671574
1038,977051	-61,676315
1041,668701	-54,884640
1044,360352	-52,834949
1047,052002	-58,102402
1049,743652	-54,062935
1052,435303	-53,376736
1055,126953	-56,615505
1057,818604	-55,636642
1060,510254	-59,971706
1063,201904	-57,291729
1065,893555	-57,031616
1068,585205	-55,370373
1071,276855	-53,256744
1073,968506	-50,255676
1076,660156	-52,852539
1079,351807	-49,915508
1082,043457	-53,115879
1084,735107	-49,311970
1087,426758	-49,168793
1090,118408	-54,917816
1092,810059	-52,868370
1095,501709	-48,778320
1098,193359	-46,054356
1100,885010	-53,948700
1103,576660	-43,627583
1106,268311	-33,766037
1108,959961	-27,056070
1111,651611	-26,681408
1114,343262	-14,141742
1117,034912	-14,122078
1119,726562	-24,959076
1122,418213	-33,997971
1125,109863	-40,707409
1127,801514	-40,252377
1130,493164	-47,844749
1133,184814	-52,573254
1135,876465	-59,869999
1138,568115	-56,872265
1141,259766	-55,874592
1143,951416	-53,669647
1146,643066	-53,358360
1149,334717	-58,387184
1152,026367	-64,134148
1154,718018	-52,083954
1157,409668	-53,091248
1160,101318	-56,118786
1162,792969	-61,286182
1165,484619	-56,310398
1168,176270	-52,944878
1170,867920	-53,832485
1173,559570	-55,770550
1176,251221	-53,422291
1178,942871	-61,485378
1181,634521	-57,826298
1184,326172	-62,756699
1187,017822	-63,164486
1189,709473	-58,009773
1192,401123	-54,824730
1195,092773	-53,621853
1197,784424	-58,094437
1200,476074	-55,548851
1203,167725	-54,274605
1205,859375	-56,169937
1208,551025	-57,217255
1211,242676	-62,765991
1213,934326	-53,693722
1216,625977	-50,285961
1219,317627	-58,335922
1222,009277	-55,494507
1224,700928	-55,960529
1227,392578	-55,033894
1230,084229	-58,871815
1232,775879	-64,084373
1235,467529	-55,118736
1238,159180	-52,458096
1240,850830	-56,479416
1243,542480	-62,986858
1246,234131	-63,174721
1248,925781	-59,056824
1251,617432	-57,766964
1254,309082	-59,324451
1257,000732	-61,807850
1259,692383	-65,310799
1262,384033	-59,735405
1265,075684	-61,292263
1267,767334	-58,917416
1270,458984	-64,356560
1273,150635	-59,991611
1275,842285	-58,731674
1278,533936	-67,163879
1281,225586	-65,565559
1283,917236	-61,125439
1286,608887	-58,217010
1289,300537	-62,121689
1291,992188	-63,400291
1294,683838	-59,921856
1297,375488	-64,849304
1300,067139	-61,887974
1302,758789	-59,698318
1305,450439	-59,660385
1308,142090	-57,817303
1310,833740	-59,605141
1313,525391	-60,122456
1316,217041	-60,222744
1318,908691	-56,219330
1321,600342	-56,958965
1324,291992	-57,897316
1326,983643	-52,696014
1329,675293	-52,532696
1332,366943	-47,879200
1335,058594	-50,300686
1337,750244	-53,218311
1340,441895	-54,338665
1343,133545	-57,374920
1345,825195	-53,702557
1348,516846	-57,547607
1351,208496	-55,753384
1353,900146	-57,812469
1356,591797	-57,948151
1359,283447	-60,685768
1361,975098	-64,143723
1364,666748	-68,129944
1367,358398	-53,695412
1370,050049	-58,985359
1372,741699	-56,649540
1375,433350	-57,088749
1378,125000	-58,950806
1380,816650	-55,443054
1383,508301	-55,362404
1386,199951	-50,984932
1388,891602	-49,779694
1391,583252	-52,350571
1394,274902	-56,474209
1396,966553	-55,178329
1399,658203	-56,804337
1402,349854	-57,133339
1405,041504	-54,499271
1407,733154	-53,990936
1410,424805	-55,185326
1413,116455	-57,126694
1415,808105	-58,882671
1418,499756	-55,876438
1421,191406	-60,838078
1423,883057	-51,078110
1426,574707	-47,867264
1429,266357	-49,265930
1431,958008	-55,959187
1434,649658	-50,691036
1437,341309	-47,691353
1440,032959	-48,026783
1442,724609	-52,143715
1445,416260	-63,218315
1448,107910	-49,996666
1450,799561	-47,601849
1453,491211	-49,360336
1456,182861	-49,716991
1458,874512	-47,048187
1461,566162	-51,076801
1464,257812	-46,763954
1466,949463	-45,714836
1469,641113	-50,954266
1472,332764	-43,139660
1475,024414	-42,745159
1477,716064	-41,731323
1480,407715	-29,447748
1483,099365	-28,873325
1485,791016	-13,217647
1488,482666	-9,356258
1491,174316	-15,252192
1493,865967	-22,094173
1496,557617	-28,922903
1499,249268	-38,778095
1501,940918	-52,402679
1504,632568	-40,989590
1507,324219	-44,765446
1510,015869	-49,749439
1512,707520	-48,835369
