Fréquence (Hz)	Niveau (dB)
5,383301	-46,798939
10,766602	-51,252098
16,149902	-52,446793
21,533203	-48,716656
26,916504	-48,442677
32,299805	-49,380527
37,683105	-45,117367
43,066406	-42,210567
48,449707	-46,372242
53,833008	-55,487900
59,216309	-50,924381
64,599609	-46,186970
69,982910	-51,332554
75,366211	-58,084827
80,749512	-47,711304
86,132812	-41,420822
91,516113	-49,350639
96,899414	-56,006420
102,282715	-56,108185
107,666016	-57,402332
113,049316	-54,044621
118,432617	-51,337643
123,815918	-49,232674
129,199219	-41,537659
134,582520	-45,120537
139,965820	-51,998096
145,349121	-55,592979
150,732422	-58,250515
156,115723	-59,549664
161,499023	-57,183704
166,882324	-48,556797
172,265625	-45,372700
177,648926	-50,137981
183,032227	-57,087368
188,415527	-54,859993
193,798828	-54,807293
199,182129	-53,394249
204,565430	-51,150097
209,948730	-52,759544
215,332031	-54,103333
220,715332	-55,171597
226,098633	-53,932682
231,481934	-52,682438
236,865234	-49,825565
242,248535	-55,456425
247,631836	-58,873489
253,015137	-60,467140
258,398438	-57,995888
263,781738	-53,894352
269,165039	-57,083782
274,548340	-47,364796
279,931641	-47,007328
285,314941	-54,155552
290,698242	-55,035217
296,081543	-56,904915
301,464844	-60,148464
306,848145	-60,443405
312,231445	-62,119938
317,614746	-65,340485
322,998047	-59,556561
328,381348	-52,422962
333,764648	-47,991806
339,147949	-44,227684
344,531250	-44,435108
349,914551	-51,190865
355,297852	-51,481937
360,681152	-49,892136
366,064453	-49,340878
371,447754	-50,469990
376,831055	-48,626659
382,214355	-49,011524
387,597656	-51,351166
392,980957	-48,447193
398,364258	-52,777412
403,747559	-26,497379
409,130859	-18,204361
414,514160	-21,567114
419,897461	-36,894638
425,280762	-43,814480
430,664062	-50,086750
436,047363	-49,674236
441,430664	-54,669876
446,813965	-59,073349
452,197266	-55,049305
457,580566	-57,992809
462,963867	-58,738007
468,347168	-53,154011
473,730469	-53,439384
479,113770	-53,983009
484,497070	-55,690140
489,880371	-55,494854
495,263672	-55,497845
500,646973	-53,970818
506,030273	-51,634472
511,413574	-53,460716
516,796875	-54,581665
522,180176	-55,140099
527,563477	-54,040218
532,946777	-54,224644
538,330078	-57,323845
543,713379	-60,430412
549,096680	-52,627457
554,479980	-48,537479
559,863281	-53,612869
565,246582	-55,016582
570,629883	-58,825047
576,013184	-54,935959
581,396484	-54,424702
586,779785	-60,214310
592,163086	-59,373661
597,546387	-59,264572
602,929688	-55,670204
608,312988	-50,944691
613,696289	-49,967697
619,079590	-51,781155
624,462891	-50,140388
629,846191	-50,016708
635,229492	-57,644821
640,612793	-55,706444
645,996094	-52,211773
651,379395	-54,685543
656,762695	-55,268406
662,145996	-50,198353
667,529297	-51,958042
672,912598	-45,744061
678,295898	-41,074791
683,679199	-44,871147
689,062500	-47,668087
694,445801	-47,560780
699,829102	-45,116280
705,212402	-45,743252
710,595703	-54,967857
715,979004	-55,803562
721,362305	-56,390144
726,745605	-56,041832
732,128906	-56,599838
737,512207	-57,357750
742,895508	-58,437710
748,278809	-52,303661
753,662109	-50,705448
759,045410	-55,343983
764,428711	-54,677319
769,812012	-51,772114
775,195312	-52,001991
780,578613	-48,826981
785,961914	-48,957527
791,345215	-50,217491
796,728516	-50,564266
802,111816	-45,809204
807,495117	-45,702415
812,878418	-24,417650
818,261719	-13,275465
823,645020	-14,597930
829,028320	-30,388895
834,411621	-41,946178
839,794922	-45,472107
845,178223	-44,575478
850,561523	-48,489334
855,944824	-48,209099
861,328125	-52,982052
866,711426	-54,160984
872,094727	-54,506992
877,478027	-50,583351
882,861328	-53,768101
888,244629	-48,867035
893,627930	-49,650356
899,011230	-56,422310
904,394531	-59,467018
909,777832	-61,418507
915,161133	-66,681442
920,544434	-73,172745
925,927734	-73,580132
931,311035	-71,635399
936,694336	-71,591568
942,077637	-66,836700
947,460938	-61,955513
952,844238	-59,459267
958,227539	-58,682289
963,610840	-59,064209
968,994141	-58,869755
974,377441	-58,615936
979,760742	-58,393616
985,144043	-57,979130
990,527344	-58,206734
995,910645	-57,109684
1001,293945	-52,628765
1006,677246	-46,388084
1012,060547	-49,466312
1017,443848	-54,457283
1022,827148	-52,334320
1028,210449	-53,822411
1033,593750	-62,873959
1038,977051	-57,322643
1044,360352	-51,305569
1049,743652	-51,021912
1055,126953	-56,198315
1060,510254	-60,603065
1065,893555	-58,099262
1071,276855	-59,685726
1076,660156	-62,091042
1082,043457	-58,908421
1087,426758	-58,367611
1092,810059	-61,844189
1098,193359	-58,644505
1103,576660	-62,491993
1108,959961	-67,274681
1114,343262	-57,039371
1119,726562	-53,415886
1125,109863	-55,183456
1130,493164	-60,600964
1135,876465	-59,799221
1141,259766	-59,697060
1146,643066	-57,105320
1152,026367	-60,258865
1157,409668	-68,562164
1162,792969	-58,947472
1168,176270	-51,329361
1173,559570	-48,968128
1178,942871	-54,973385
1184,326172	-57,032070
1189,709473	-53,299583
1195,092773	-49,883244
1200,476074	-49,171055
1205,859375	-49,357479
1211,242676	-49,271095
1216,625977	-46,615818
1222,009277	-30,776070
1227,392578	-17,224102
1232,775879	-14,882245
1238,159180	-24,161499
1243,542480	-39,490662
1248,925781	-43,050865
1254,309082	-48,590008
1259,692383	-46,304642
1265,075684	-53,708782
1270,458984	-55,583420
1275,842285	-59,020424
1281,225586	-58,852680
1286,608887	-54,390594
1291,992188	-56,211357
1297,375488	-54,372795
1302,758789	-60,494446
1308,142090	-54,421947
1313,525391	-55,796864
1318,908691	-54,009396
1324,291992	-53,425003
1329,675293	-54,255623
1335,058594	-57,002338
1340,441895	-48,374138
1345,825195	-40,507122
1351,208496	-40,771435
1356,591797	-47,083427
1361,975098	-57,884167
1367,358398	-62,242779
1372,741699	-55,536381
1378,125000	-52,087849
1383,508301	-50,818172
1388,891602	-49,772995
1394,274902	-51,359264
1399,658203	-54,079105
1405,041504	-50,428036
1410,424805	-52,724743
1415,808105	-61,044361
1421,191406	-57,267838
1426,574707	-55,878666
1431,958008	-63,944622
1437,341309	-54,820652
1442,724609	-60,712872
1448,107910	-56,383705
1453,491211	-56,065769
1458,874512	-54,095512
1464,257812	-55,063690
1469,641113	-57,822628
1475,024414	-60,363533
1480,407715	-65,246994
1485,791016	-61,195370
1491,174316	-59,389965
1496,557617	-60,991592
1501,940918	-61,651627
1507,324219	-60,982903
1512,707520	-59,472527
1518,090820	-55,367165
1523,474121	-58,115646
1528,857422	-60,031826
1534,240723	-58,706764
1539,624023	-55,810074
1545,007324	-57,943035
1550,390625	-61,652218
1555,773926	-53,657410
1561,157227	-51,442963
1566,540527	-55,867405
1571,923828	-52,820580
1577,307129	-42,009411
1582,690430	-38,693359
1588,073730	-41,928413
1593,457031	-50,775146
1598,840332	-48,801674
1604,223633	-48,525753
1609,606934	-53,674633
1614,990234	-49,031967
1620,373535	-43,638054
1625,756836	-39,529255
1631,140137	-26,656584
1636,523438	-10,265212
1641,906738	-6,947979
1647,290039	-14,797741
1652,673340	-32,268677
1658,056641	-34,529350
1663,439941	-33,658169
1668,823242	-39,477489
1674,206543	-42,379108
1679,589844	-45,206295
1684,973145	-42,786781
1690,356445	-45,011734
1695,739746	-49,480656
1701,123047	-49,649437
1706,506348	-51,217964
1711,889648	-50,318726
1717,272949	-48,979244
1722,656250	-51,743145
1728,039551	-60,155598
1733,422852	-55,723957
1738,806152	-57,342319
1744,189453	-66,792259
1749,572754	-68,121887
1754,956055	-66,557022
1760,339355	-66,048439
1765,722656	-71,480934
1771,105957	-73,507591
1776,489258	-67,619499
1781,872559	-63,990124
1787,255859	-63,327583
