Fréquence (Hz)	Niveau (dB)
2,691650	-41,325520
5,383301	-50,345047
8,074951	-53,829422
10,766602	-54,755634
13,458252	-52,185631
16,149902	-54,554630
18,841553	-61,779709
21,533203	-58,994030
24,224854	-61,114254
26,916504	-56,797478
29,608154	-55,755356
32,299805	-56,118328
34,991455	-62,642887
37,683105	-57,366070
40,374756	-44,476677
43,066406	-41,936249
45,758057	-52,924446
48,449707	-57,708324
51,141357	-57,518490
53,833008	-61,548107
56,524658	-60,881790
59,216309	-63,229202
61,907959	-56,226097
64,599609	-48,404011
67,291260	-51,868431
69,982910	-63,113186
72,674561	-57,122772
75,366211	-55,278839
78,057861	-62,924004
80,749512	-60,786480
83,441162	-47,038544
86,132812	-45,491550
88,824463	-57,399628
91,516113	-62,022762
94,207764	-68,163033
96,899414	-72,640938
99,591064	-65,830505
102,282715	-64,356522
104,974365	-61,724525
107,666016	-58,030582
110,357666	-67,657494
113,049316	-64,148598
115,740967	-63,610134
118,432617	-60,317890
121,124268	-59,667526
123,815918	-58,719318
126,507568	-47,667435
129,199219	-48,588501
131,890869	-62,712757
134,582520	-55,265255
137,274170	-55,719776
139,965820	-57,184132
142,657471	-62,696766
145,349121	-66,895691
148,040771	-62,360722
150,732422	-62,901173
153,424072	-63,437675
156,115723	-60,882229
158,807373	-60,884476
161,499023	-60,336609
164,190674	-67,291344
166,882324	-53,403751
169,573975	-45,943012
172,265625	-49,252388
174,957275	-60,179249
177,648926	-68,047279
180,340576	-62,411716
183,032227	-62,890717
185,723877	-66,749908
188,415527	-65,480431
191,107178	-63,904816
193,798828	-56,787861
196,490479	-55,338749
199,182129	-55,217518
201,873779	-54,307968
204,565430	-53,261490
207,257080	-55,700615
209,948730	-56,087181
212,640381	-54,007168
215,332031	-55,251778
218,023682	-56,043697
220,715332	-54,150654
223,406982	-54,047401
226,098633	-61,360336
228,790283	-58,053448
231,481934	-58,767056
234,173584	-56,816822
236,865234	-60,369007
239,556885	-63,612732
242,248535	-61,013145
244,940186	-61,969231
247,631836	-64,136490
250,323486	-59,635731
253,015137	-63,043205
255,706787	-57,778522
258,398438	-59,787151
261,090088	-56,307613
263,781738	-58,149708
266,473389	-61,248447
269,165039	-53,646290
271,856689	-60,975147
274,548340	-46,232296
277,239990	-46,635124
279,931641	-52,972969
282,623291	-52,948448
285,314941	-53,706596
288,006592	-55,855904
290,698242	-59,448418
293,389893	-57,705769
296,081543	-52,159988
298,773193	-58,442581
301,464844	-59,601818
304,156494	-63,977341
306,848145	-56,711681
309,539795	-61,484787
312,231445	-64,684570
314,923096	-69,824692
317,614746	-60,946022
320,306396	-64,409805
322,998047	-57,835155
325,689697	-62,006535
328,381348	-62,717606
331,072998	-66,771194
333,764648	-67,019791
336,456299	-61,965572
339,147949	-62,377045
341,839600	-69,423424
344,531250	-67,454971
347,222900	-66,632996
349,914551	-59,754356
352,606201	-61,421124
355,297852	-58,328823
357,989502	-60,806221
360,681152	-62,129166
363,372803	-62,291386
366,064453	-60,988338
368,756104	-62,183445
371,447754	-61,378372
374,139404	-59,899723
376,831055	-62,459614
379,522705	-64,444939
382,214355	-66,659393
384,906006	-60,189621
387,597656	-57,686825
390,289307	-59,102715
392,980957	-58,041847
395,672607	-57,997364
398,364258	-58,556057
401,055908	-61,739971
403,747559	-58,568188
406,439209	-58,827576
409,130859	-59,514568
411,822510	-57,274090
414,514160	-61,638664
417,205811	-61,428837
419,897461	-62,136318
422,589111	-61,856773
425,280762	-64,488152
427,972412	-62,539551
430,664062	-57,181980
433,355713	-56,901905
436,047363	-60,327839
438,739014	-65,941521
441,430664	-60,084259
444,122314	-62,485191
446,813965	-53,231590
449,505615	-59,698780
452,197266	-54,218208
454,888916	-52,438358
457,580566	-52,371716
460,272217	-52,903843
462,963867	-53,198441
465,655518	-52,393494
468,347168	-56,879932
471,038818	-56,998783
473,730469	-57,498688
476,422119	-56,211452
479,113770	-51,460350
481,805420	-38,645752
484,497070	-24,437332
487,188721	-22,201561
489,880371	-32,403515
492,572021	-44,794006
495,263672	-53,133968
497,955322	-52,120174
500,646973	-54,029877
503,338623	-53,063641
506,030273	-52,991657
508,721924	-53,769066
511,413574	-53,404152
514,105225	-59,244007
516,796875	-64,516624
