Fréquence (Hz)	Niveau (dB)
5,383301	-44,344570
10,766602	-56,527603
16,149902	-55,333153
21,533203	-55,183681
26,916504	-56,390759
32,299805	-50,940140
37,683105	-40,069267
43,066406	-35,268055
48,449707	-42,631008
53,833008	-58,436741
59,216309	-50,031345
64,599609	-41,777073
69,982910	-46,293720
75,366211	-49,622643
80,749512	-36,757889
86,132812	-33,497990
91,516113	-44,229797
96,899414	-48,352669
102,282715	-51,711033
107,666016	-49,407104
113,049316	-52,357185
118,432617	-56,957294
123,815918	-42,310009
129,199219	-39,519154
134,582520	-47,315357
139,965820	-56,122807
145,349121	-47,639618
150,732422	-44,984241
156,115723	-44,769386
161,499023	-47,431080
166,882324	-41,765793
172,265625	-43,791164
177,648926	-46,485619
183,032227	-47,634830
188,415527	-46,924747
193,798828	-49,132301
199,182129	-53,538738
204,565430	-52,711445
209,948730	-56,137920
215,332031	-54,824604
220,715332	-55,735146
226,098633	-57,630375
231,481934	-51,417732
236,865234	-52,913700
242,248535	-59,852859
247,631836	-52,361305
253,015137	-52,891647
258,398438	-51,706207
263,781738	-48,180344
269,165039	-40,183876
274,548340	-35,897198
279,931641	-39,040462
285,314941	-43,616497
290,698242	-46,940010
296,081543	-45,896084
301,464844	-48,566086
306,848145	-57,045536
312,231445	-53,172115
317,614746	-49,903904
322,998047	-50,820267
328,381348	-55,161804
333,764648	-56,867352
339,147949	-54,675491
344,531250	-50,479153
349,914551	-47,179337
355,297852	-46,872219
360,681152	-47,223564
366,064453	-49,933292
371,447754	-49,810303
376,831055	-50,174213
382,214355	-47,137100
387,597656	-50,957722
392,980957	-49,929153
398,364258	-52,853775
403,747559	-64,681198
409,130859	-53,268921
414,514160	-49,850159
419,897461	-48,162209
425,280762	-47,232780
430,664062	-48,171589
436,047363	-47,927708
441,430664	-32,771954
446,813965	-26,113287
452,197266	-30,353483
457,580566	-42,011150
462,963867	-45,569744
468,347168	-49,495579
473,730469	-45,044456
479,113770	-45,751579
484,497070	-53,349628
489,880371	-45,787693
495,263672	-43,615021
500,646973	-47,854385
506,030273	-54,235111
511,413574	-47,277901
516,796875	-46,214535
522,180176	-45,995926
527,563477	-50,713558
532,946777	-56,897823
538,330078	-60,015141
543,713379	-46,646660
549,096680	-39,213058
554,479980	-43,837975
559,863281	-50,277664
565,246582	-49,374123
570,629883	-48,847008
576,013184	-52,249210
581,396484	-66,905594
586,779785	-54,060493
592,163086	-52,677299
597,546387	-53,452625
602,929688	-60,807198
608,312988	-65,838631
613,696289	-59,049740
619,079590	-58,361771
624,462891	-64,442566
629,846191	-57,492622
635,229492	-55,317986
640,612793	-54,096397
645,996094	-64,374702
651,379395	-56,102379
656,762695	-58,341629
662,145996	-58,780430
667,529297	-59,131500
672,912598	-57,444050
678,295898	-55,312073
683,679199	-54,720581
689,062500	-53,756348
694,445801	-59,494213
699,829102	-57,590336
705,212402	-53,162086
710,595703	-51,468788
715,979004	-54,610523
721,362305	-55,873745
726,745605	-59,882664
732,128906	-65,292664
737,512207	-60,454693
742,895508	-56,500469
748,278809	-53,958042
753,662109	-55,571701
759,045410	-60,023594
764,428711	-53,063587
769,812012	-54,544338
775,195312	-58,522038
780,578613	-53,257187
785,961914	-54,146000
791,345215	-54,123634
796,728516	-54,071125
802,111816	-57,183613
807,495117	-51,822128
812,878418	-50,332138
818,261719	-56,616444
823,645020	-48,789341
829,028320	-50,120415
834,411621	-57,057896
839,794922	-52,975769
845,178223	-52,784954
850,561523	-47,474792
855,944824	-45,425491
861,328125	-45,610470
866,711426	-45,511589
872,094727	-52,078915
877,478027	-44,701687
882,861328	-44,077602
888,244629	-16,510323
893,627930	-8,142358
899,011230	-11,746424
904,394531	-31,691219
909,777832	-39,396355
915,161133	-40,290749
920,544434	-44,931782
925,927734	-50,019516
931,311035	-50,377823
936,694336	-46,054653
942,077637	-47,465908
947,460938	-53,033596
952,844238	-52,679440
958,227539	-48,891182
963,610840	-56,251907
968,994141	-46,750370
974,377441	-43,614120
979,760742	-48,210297
985,144043	-54,198074
990,527344	-46,641235
995,910645	-46,483181
1001,293945	-49,564407
1006,677246	-46,781502
1012,060547	-46,598354
1017,443848	-55,832066
1022,827148	-50,084503
1028,210449	-54,872646
1033,593750	-52,409260
1038,977051	-55,708328
1044,360352	-53,895355
1049,743652	-65,647972
1055,126953	-53,243370
1060,510254	-55,381763
1065,893555	-52,230087
1071,276855	-49,867916
1076,660156	-56,506985
1082,043457	-55,161362
1087,426758	-56,471401
1092,810059	-47,830708
1098,193359	-46,605434
1103,576660	-46,846973
1108,959961	-55,176323
1114,343262	-54,871956
1119,726562	-53,554585
1125,109863	-53,237160
1130,493164	-58,986671
1135,876465	-57,586002
1141,259766	-52,862030
1146,643066	-57,272579
1152,026367	-60,127831
1157,409668	-62,412468
1162,792969	-65,858078
1168,176270	-67,468437
1173,559570	-68,120163
1178,942871	-65,596786
1184,326172	-59,382160
1189,709473	-58,769112
1195,092773	-61,835510
1200,476074	-65,017990
1205,859375	-64,138306
1211,242676	-61,677200
1216,625977	-59,125481
1222,009277	-58,165710
1227,392578	-59,055004
1232,775879	-60,646828
1238,159180	-63,399853
1243,542480	-63,598660
1248,925781	-59,715691
1254,309082	-57,786144
1259,692383	-56,034016
1265,075684	-56,780281
1270,458984	-57,665020
1275,842285	-54,778084
1281,225586	-56,859482
1286,608887	-54,817047
1291,992188	-51,719009
1297,375488	-53,714783
1302,758789	-53,414841
1308,142090	-48,644421
1313,525391	-43,770092
1318,908691	-44,446991
1324,291992	-52,557125
1329,675293	-39,579239
1335,058594	-26,866735
1340,441895	-15,789394
1345,825195	-13,498784
1351,208496	-21,179873
1356,591797	-32,027866
1361,975098	-44,118221
1367,358398	-49,482952
1372,741699	-46,878712
1378,125000	-46,183739
1383,508301	-48,432888
1388,891602	-49,153507
1394,274902	-53,534611
1399,658203	-53,407757
1405,041504	-59,722305
1410,424805	-56,405075
1415,808105	-57,399872
1421,191406	-54,312679
1426,574707	-52,842022
1431,958008	-56,638123
1437,341309	-55,358978
1442,724609	-46,858124
1448,107910	-37,326374
1453,491211	-32,795620
1458,874512	-38,730827
1464,257812	-41,948105
1469,641113	-42,780880
1475,024414	-44,049858
1480,407715	-49,083546
1485,791016	-50,360310
1491,174316	-51,502735
1496,557617	-56,943043
1501,940918	-59,187244
1507,324219	-56,586578
1512,707520	-55,277790
1518,090820	-56,292606
1523,474121	-54,172794
1528,857422	-58,808193
1534,240723	-53,490147
1539,624023	-55,399757
1545,007324	-57,466702
1550,390625	-58,947113
1555,773926	-59,832832
1561,157227	-58,633675
1566,540527	-59,535019
1571,923828	-60,944050
1577,307129	-58,512691
1582,690430	-59,218449
1588,073730	-62,494751
1593,457031	-58,000793
1598,840332	-62,993587
1604,223633	-56,078766
1609,606934	-53,748707
1614,990234	-55,785339
1620,373535	-53,855106
1625,756836	-56,059456
1631,140137	-63,302879
1636,523438	-61,039551
1641,906738	-61,095833
1647,290039	-59,478745
1652,673340	-56,139458
1658,056641	-57,350319
1663,439941	-55,357090
1668,823242	-56,294083
1674,206543	-54,019505
1679,589844	-52,546371
1684,973145	-53,855061
1690,356445	-49,540936
1695,739746	-48,830475
1701,123047	-51,684536
1706,506348	-53,627518
