Fréquence (Hz)	Niveau (dB)
2,691650	-50,057751
5,383301	-52,098171
8,074951	-55,510120
10,766602	-53,518436
13,458252	-52,818069
16,149902	-53,423191
18,841553	-49,090717
21,533203	-44,709763
24,224854	-48,778927
26,916504	-45,938274
29,608154	-46,467823
32,299805	-50,555222
34,991455	-51,123997
37,683105	-47,905964
40,374756	-33,227379
43,066406	-30,849745
45,758057	-41,775520
48,449707	-48,855530
51,141357	-48,444778
53,833008	-52,089100
56,524658	-49,039326
59,216309	-46,436642
61,907959	-45,752441
64,599609	-39,993908
67,291260	-47,853737
69,982910	-49,336926
72,674561	-49,463871
75,366211	-48,662910
78,057861	-52,139099
80,749512	-42,147331
83,441162	-32,472492
86,132812	-33,404945
88,824463	-43,805290
91,516113	-51,380398
94,207764	-56,104549
96,899414	-53,705967
99,591064	-51,805950
102,282715	-52,481827
104,974365	-54,726803
107,666016	-50,276142
110,357666	-50,457664
113,049316	-53,286362
115,740967	-53,610474
118,432617	-52,934307
121,124268	-59,456169
123,815918	-46,014935
126,507568	-40,134727
129,199219	-43,584080
131,890869	-47,799683
134,582520	-51,884678
137,274170	-49,284618
139,965820	-47,140648
142,657471	-50,294811
145,349121	-46,132656
148,040771	-44,549530
150,732422	-51,168705
153,424072	-51,528656
156,115723	-51,615761
158,807373	-48,562675
161,499023	-46,082520
164,190674	-47,638680
166,882324	-42,620327
169,573975	-38,087921
172,265625	-43,210426
174,957275	-50,321270
177,648926	-46,736141
180,340576	-46,940712
183,032227	-54,828522
185,723877	-50,441486
188,415527	-48,263153
191,107178	-49,643055
193,798828	-53,658443
196,490479	-49,925293
199,182129	-47,448364
201,873779	-47,292915
204,565430	-45,731831
207,257080	-45,508015
209,948730	-45,246494
212,640381	-44,767365
215,332031	-43,245781
218,023682	-42,874668
220,715332	-46,675850
223,406982	-48,631397
226,098633	-51,532852
228,790283	-50,452610
231,481934	-44,322918
234,173584	-46,326981
236,865234	-53,451405
239,556885	-50,231617
242,248535	-50,440544
244,940186	-50,231396
247,631836	-49,390400
250,323486	-49,019680
253,015137	-48,271969
255,706787	-48,902355
258,398438	-49,537857
261,090088	-53,341145
263,781738	-51,139515
266,473389	-50,307289
269,165039	-51,121983
271,856689	-36,081169
274,548340	-32,171333
277,239990	-39,564087
279,931641	-44,253330
282,623291	-45,723835
285,314941	-47,869366
288,006592	-52,231430
290,698242	-51,914612
293,389893	-47,021278
296,081543	-46,309971
298,773193	-49,300034
301,464844	-49,556076
304,156494	-46,921352
306,848145	-49,017792
309,539795	-51,649029
312,231445	-49,400654
314,923096	-50,511780
317,614746	-49,730312
320,306396	-48,209164
322,998047	-50,755066
325,689697	-53,710857
328,381348	-49,750431
331,072998	-54,067265
333,764648	-30,695007
336,456299	-22,894766
339,147949	-26,767134
341,839600	-38,435036
344,531250	-49,799107
347,222900	-49,751438
349,914551	-48,430199
352,606201	-49,562260
355,297852	-45,747330
357,989502	-45,358376
360,681152	-47,527542
363,372803	-48,921188
366,064453	-47,726410
368,756104	-48,561344
371,447754	-51,254761
374,139404	-49,438591
376,831055	-50,590004
379,522705	-49,218307
382,214355	-46,581291
384,906006	-49,104233
387,597656	-50,739361
390,289307	-50,969498
392,980957	-49,390690
395,672607	-51,770767
398,364258	-56,779671
401,055908	-49,387051
403,747559	-45,230621
406,439209	-47,208195
409,130859	-48,296612
411,822510	-46,318954
414,514160	-46,986477
417,205811	-48,573875
419,897461	-49,718903
422,589111	-42,124092
425,280762	-43,919006
427,972412	-49,105202
430,664062	-51,928703
433,355713	-50,261848
436,047363	-51,073864
438,739014	-52,208790
441,430664	-47,800724
444,122314	-49,200077
446,813965	-54,019707
449,505615	-53,092819
452,197266	-52,001335
454,888916	-50,449562
457,580566	-52,276356
460,272217	-46,958256
462,963867	-44,789700
465,655518	-44,740791
468,347168	-49,460903
471,038818	-49,860703
473,730469	-48,816643
476,422119	-50,334721
479,113770	-53,196297
481,805420	-55,944237
484,497070	-54,442802
487,188721	-52,393898
489,880371	-52,913902
492,572021	-58,147102
495,263672	-58,845036
497,955322	-54,926689
500,646973	-55,975986
503,338623	-55,810196
506,030273	-54,184792
508,721924	-55,838867
511,413574	-57,307613
514,105225	-55,587585
516,796875	-55,868454
519,488525	-52,603779
522,180176	-56,315014
524,871826	-58,674675
527,563477	-59,897694
530,255127	-55,096130
532,946777	-57,132000
535,638428	-58,370358
538,330078	-54,638058
541,021729	-56,341888
543,713379	-51,142254
546,405029	-42,722862
549,096680	-41,123089
551,788330	-43,014435
554,479980	-46,720230
557,171631	-51,038090
559,863281	-55,948414
562,554932	-54,408192
565,246582	-53,422348
567,938232	-54,156075
570,629883	-54,387245
573,321533	-57,290474
576,013184	-59,423389
578,704834	-56,181339
581,396484	-55,155781
584,088135	-54,155403
586,779785	-56,795723
589,471436	-50,616127
592,163086	-49,261265
594,854736	-55,020214
597,546387	-63,629013
600,238037	-58,251801
602,929688	-56,076302
605,621338	-54,125801
608,312988	-56,845474
611,004639	-56,347424
613,696289	-54,676685
616,387939	-53,593395
619,079590	-56,245880
621,771240	-52,809177
624,462891	-51,289421
627,154541	-51,894348
629,846191	-50,302353
632,537842	-51,537899
635,229492	-51,597492
637,921143	-51,269077
640,612793	-49,529713
643,304443	-49,657261
645,996094	-51,650665
648,687744	-48,634010
651,379395	-47,236187
654,071045	-48,748871
656,762695	-60,142010
659,454346	-49,567909
662,145996	-47,784466
664,837646	-44,653076
667,529297	-41,623604
670,220947	-30,229948
672,912598	-18,166422
675,604248	-15,885838
678,295898	-22,480165
680,987549	-33,393372
683,679199	-40,042442
686,370850	-42,785244
689,062500	-46,317623
691,754150	-50,621792
694,445801	-50,552029
697,137451	-45,510460
699,829102	-46,182407
702,520752	-44,744904
705,212402	-41,812717
707,904053	-39,807281
710,595703	-38,923672
713,287354	-38,668457
715,979004	-38,877499
718,670654	-40,187569
721,362305	-42,789288
724,053955	-44,611656
726,745605	-43,729290
729,437256	-44,084080
732,128906	-52,244495
734,820557	-54,150917
737,512207	-52,531986
740,203857	-51,447044
742,895508	-49,850384
745,587158	-55,531612
748,278809	-54,366035
750,970459	-51,698036
753,662109	-54,435600
756,353760	-61,362167
759,045410	-57,999981
761,737061	-53,520378
764,428711	-53,011936
767,120361	-53,654469
769,812012	-60,004017
772,503662	-55,153355
775,195312	-54,136990
777,886963	-54,711979
780,578613	-53,341618
783,270264	-54,574764
785,961914	-53,512035
788,653564	-52,615353
791,345215	-55,695660
794,036865	-57,167473
796,728516	-54,906055
799,420166	-56,699791
802,111816	-57,495613
804,803467	-55,870491
807,495117	-55,781212
810,186768	-57,505051
812,878418	-60,124084
815,570068	-58,473637
818,261719	-50,218128
820,953369	-51,648865
823,645020	-52,987686
826,336670	-52,948421
829,028320	-52,946983
831,719971	-53,212570
834,411621	-55,494907
837,103271	-54,096169
839,794922	-54,363209
842,486572	-57,798309
845,178223	-59,925472
847,869873	-57,344585
850,561523	-55,135571
853,253174	-55,499146
855,944824	-52,404190
858,636475	-51,616669
861,328125	-51,310993
864,019775	-47,276649
866,711426	-49,678661
869,403076	-52,845631
872,094727	-55,640278
874,786377	-58,063255
877,478027	-61,602180
880,169678	-67,620422
882,861328	-63,883896
885,552979	-58,689255
888,244629	-57,370457
890,936279	-59,845089
893,627930	-61,682766
896,319580	-62,357105
899,011230	-60,519646
901,702881	-57,350327
904,394531	-55,100468
907,086182	-55,535275
909,777832	-58,169193
912,469482	-59,994343
915,161133	-61,599304
917,852783	-61,191853
920,544434	-58,702522
923,236084	-56,111992
925,927734	-57,094555
928,619385	-62,808296
931,311035	-59,554012
934,002686	-54,637554
936,694336	-53,199043
939,385986	-59,491249
942,077637	-55,470566
944,769287	-57,720795
947,460938	-53,375912
950,152588	-51,476543
952,844238	-55,940826
955,535889	-61,097797
958,227539	-61,079342
960,919189	-53,400543
963,610840	-49,323635
966,302490	-50,524834
968,994141	-54,810032
971,685791	-50,588249
974,377441	-51,487946
977,069092	-52,753971
979,760742	-50,873428
982,452393	-47,295719
985,144043	-47,883907
987,835693	-48,442909
990,527344	-50,188873
993,218994	-51,169941
995,910645	-49,621376
998,602295	-47,454571
1001,293945	-40,734806
1003,985596	-33,840752
1006,677246	-30,453148
1009,368896	-18,194130
1012,060547	-11,635986
1014,752197	-13,931483
1017,443848	-20,799589
1020,135498	-24,018763
1022,827148	-34,518700
1025,518799	-46,099297
1028,210449	-45,381737
1030,902100	-45,514477
1033,593750	-48,046104
1036,285400	-53,395477
1038,977051	-55,488506
1041,668701	-61,934624
1044,360352	-52,656418
1047,052002	-53,471260
1049,743652	-53,192787
1052,435303	-57,319599
1055,126953	-53,965027
1057,818604	-50,549721
1060,510254	-55,717358
1063,201904	-48,697067
1065,893555	-45,674549
1068,585205	-46,326942
1071,276855	-45,178417
1073,968506	-44,676147
1076,660156	-44,815647
1079,351807	-43,498074
1082,043457	-42,156025
1084,735107	-41,670013
1087,426758	-42,843975
1090,118408	-41,601704
1092,810059	-41,227589
1095,501709	-42,564445
1098,193359	-40,669559
1100,885010	-45,354794
1103,576660	-49,046230
1106,268311	-51,793739
1108,959961	-52,530807
1111,651611	-52,465103
1114,343262	-52,306667
1117,034912	-54,354218
1119,726562	-55,966549
1122,418213	-57,343288
1125,109863	-55,381004
1127,801514	-55,737877
1130,493164	-55,261593
1133,184814	-55,414989
1135,876465	-54,891148
1138,568115	-54,880016
1141,259766	-55,477531
1143,951416	-57,269218
1146,643066	-59,716282
1149,334717	-57,892399
1152,026367	-56,334835
1154,718018	-57,243176
1157,409668	-55,469002
1160,101318	-56,778633
1162,792969	-56,012928
1165,484619	-55,585720
1168,176270	-58,896824
1170,867920	-57,189655
1173,559570	-54,084316
1176,251221	-53,592716
1178,942871	-55,713017
1181,634521	-54,273582
1184,326172	-55,226692
1187,017822	-58,330109
1189,709473	-55,171047
1192,401123	-52,898010
1195,092773	-52,194771
1197,784424	-55,306725
1200,476074	-55,940567
1203,167725	-57,435635
1205,859375	-67,314789
1208,551025	-61,122032
1211,242676	-66,393951
1213,934326	-69,205154
1216,625977	-61,641052
1219,317627	-58,058548
1222,009277	-58,119255
1224,700928	-56,142384
1227,392578	-54,595013
1230,084229	-55,697918
1232,775879	-54,539650
1235,467529	-58,059422
1238,159180	-58,630535
1240,850830	-59,172531
1243,542480	-60,586670
1246,234131	-59,609341
1248,925781	-59,636917
1251,617432	-58,603168
1254,309082	-61,032795
1257,000732	-56,242695
1259,692383	-54,825897
1262,384033	-59,763397
1265,075684	-55,549015
1267,767334	-53,299835
1270,458984	-51,099888
1273,150635	-53,983406
1275,842285	-55,165722
1278,533936	-59,749935
1281,225586	-57,224602
1283,917236	-51,798668
1286,608887	-52,429447
1289,300537	-52,011471
1291,992188	-50,667545
1294,683838	-52,002083
1297,375488	-55,192989
1300,067139	-54,477844
1302,758789	-50,202862
1305,450439	-50,346104
1308,142090	-56,274014
1310,833740	-56,005409
1313,525391	-53,144409
1316,217041	-54,139305
1318,908691	-50,877457
1321,600342	-49,702847
1324,291992	-51,469276
1326,983643	-46,804783
1329,675293	-47,093067
1332,366943	-46,723652
1335,058594	-50,344345
1337,750244	-40,056328
1340,441895	-32,548416
1343,133545	-29,552736
1345,825195	-20,667974
1348,516846	-12,258348
1351,208496	-13,419333
1353,900146	-21,795687
1356,591797	-28,836172
1359,283447	-34,576591
1361,975098	-42,195889
1364,666748	-44,408558
1367,358398	-42,979092
1370,050049	-44,714428
1372,741699	-45,047550
1375,433350	-48,245514
1378,125000	-48,993454
1380,816650	-50,687271
1383,508301	-48,329739
1386,199951	-46,999210
1388,891602	-48,579548
1391,583252	-48,280128
1394,274902	-48,687481
1396,966553	-50,804642
1399,658203	-52,647011
1402,349854	-50,632282
1405,041504	-49,692673
1407,733154	-50,565098
1410,424805	-54,708481
1413,116455	-53,964817
1415,808105	-50,637959
1418,499756	-50,457767
1421,191406	-52,540333
1423,883057	-53,322506
1426,574707	-49,643253
1429,266357	-50,125175
1431,958008	-50,593548
1434,649658	-49,960316
1437,341309	-48,897995
1440,032959	-48,654663
1442,724609	-47,158760
1445,416260	-46,810490
1448,107910	-46,011463
1450,799561	-45,080036
1453,491211	-46,323231
1456,182861	-47,015331
1458,874512	-47,348671
1461,566162	-49,820572
1464,257812	-55,152943
1466,949463	-57,686508
1469,641113	-58,868565
1472,332764	-59,960171
1475,024414	-58,333511
1477,716064	-60,682709
1480,407715	-55,097767
1483,099365	-55,828991
1485,791016	-56,828495
1488,482666	-57,580074
1491,174316	-59,354462
1493,865967	-60,361778
1496,557617	-63,253468
1499,249268	-60,769581
1501,940918	-58,683739
1504,632568	-62,385330
1507,324219	-59,353558
1510,015869	-61,575706
1512,707520	-60,325100
1515,399170	-60,998528
1518,090820	-59,442219
1520,782471	-58,448990
1523,474121	-61,214653
1526,165771	-58,377655
1528,857422	-61,069397
1531,549072	-59,257198
1534,240723	-60,288208
1536,932373	-60,694035
1539,624023	-58,975777
1542,315674	-65,243591
1545,007324	-60,946011
1547,698975	-58,703342
1550,390625	-56,470123
1553,082275	-53,554165
1555,773926	-54,233128
1558,465576	-56,656532
1561,157227	-60,543640
1563,848877	-64,626915
1566,540527	-60,727867
1569,232178	-58,616222
1571,923828	-58,634159
1574,615479	-59,040325
1577,307129	-59,403423
1579,998779	-59,698437
1582,690430	-62,766361
1585,382080	-61,106297
1588,073730	-55,893341
1590,765381	-52,233498
1593,457031	-51,311996
1596,148682	-51,825619
1598,840332	-56,607075
1601,531982	-56,777901
1604,223633	-54,112099
1606,915283	-55,081966
1609,606934	-56,514381
1612,298584	-56,612446
1614,990234	-53,018116
1617,681885	-50,267559
1620,373535	-54,491077
1623,065186	-55,023296
1625,756836	-61,674755
1628,448486	-55,649849
1631,140137	-49,655537
1633,831787	-48,499031
1636,523438	-50,610641
1639,215088	-51,776001
1641,906738	-50,038891
1644,598389	-48,374512
1647,290039	-48,059700
1649,981689	-52,739677
1652,673340	-51,787632
1655,364990	-52,500462
1658,056641	-50,025089
1660,748291	-46,213356
1663,439941	-47,066402
1666,131592	-56,926903
1668,823242	-52,219711
1671,514893	-46,743633
1674,206543	-40,773487
1676,898193	-38,343742
1679,589844	-35,215679
1682,281494	-20,663021
1684,973145	-10,979493
1687,664795	-9,404914
1690,356445	-13,204714
1693,048096	-23,601965
1695,739746	-31,867666
1698,431396	-37,123249
