Fréquence (Hz)	Niveau (dB)
5,383301	-36,548973
10,766602	-51,670414
16,149902	-55,983986
21,533203	-56,277561
26,916504	-56,859573
32,299805	-56,360653
37,683105	-47,349121
43,066406	-42,644077
48,449707	-49,819557
53,833008	-66,232170
59,216309	-55,854824
64,599609	-52,712330
69,982910	-56,008705
75,366211	-53,426704
80,749512	-62,238144
86,132812	-58,142273
91,516113	-69,893105
96,899414	-63,714222
102,282715	-59,974655
107,666016	-60,834717
113,049316	-63,018490
118,432617	-55,471958
123,815918	-51,849686
129,199219	-53,109627
134,582520	-60,908478
139,965820	-69,729706
145,349121	-55,147778
150,732422	-53,552738
156,115723	-58,245773
161,499023	-64,984642
166,882324	-53,119022
172,265625	-47,957016
177,648926	-56,320877
183,032227	-59,647606
188,415527	-55,784996
193,798828	-56,888649
199,182129	-56,312534
204,565430	-54,046795
209,948730	-52,281158
215,332031	-65,202713
220,715332	-57,665787
226,098633	-72,846863
231,481934	-53,769718
236,865234	-56,742542
242,248535	-62,738949
247,631836	-59,140549
253,015137	-58,240349
258,398438	-59,636864
263,781738	-64,254883
269,165039	-54,035904
274,548340	-47,838551
279,931641	-51,492977
285,314941	-76,586716
290,698242	-77,667732
296,081543	-57,400360
301,464844	-57,965904
306,848145	-64,769218
312,231445	-65,183090
317,614746	-72,879044
322,998047	-65,655647
328,381348	-75,856133
333,764648	-73,448593
339,147949	-68,700180
344,531250	-61,707996
349,914551	-64,916122
355,297852	-59,754116
360,681152	-58,340714
366,064453	-68,182312
371,447754	-62,440071
376,831055	-62,494732
382,214355	-61,805405
387,597656	-62,351219
392,980957	-72,479591
398,364258	-62,668159
403,747559	-64,446960
409,130859	-64,764282
414,514160	-77,739578
419,897461	-60,152863
425,280762	-59,733265
430,664062	-55,479855
436,047363	-61,430569
441,430664	-64,175629
446,813965	-57,135662
452,197266	-53,609123
457,580566	-58,576412
462,963867	-55,234058
468,347168	-54,256283
473,730469	-63,272938
479,113770	-61,087776
484,497070	-64,251740
489,880371	-63,139179
495,263672	-63,769821
500,646973	-71,596764
506,030273	-60,462517
511,413574	-54,082474
516,796875	-51,098537
522,180176	-53,164722
527,563477	-54,180496
532,946777	-46,584347
538,330078	-41,846268
543,713379	-31,947353
549,096680	-32,409908
554,479980	-38,188198
559,863281	-51,995129
565,246582	-49,486099
570,629883	-51,648621
576,013184	-59,504440
581,396484	-52,306004
586,779785	-64,458389
592,163086	-51,478886
597,546387	-49,101841
602,929688	-53,347874
